,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
150,600519.SH,20210128,2080.0,2109.66,2060.02,2088.0,2089.0,-1.0,-0.0479,35128.64,7337084.455
151,600519.SH,20210127,2141.89,2141.89,2085.0,2089.0,2141.89,-52.89,-2.4693,37120.17,7809446.387
152,600519.SH,20210126,2185.0,2187.0,2125.11,2141.89,2175.0,-33.11,-1.5223,31747.46,6820173.362
153,600519.SH,20210125,2083.0,2179.5,2083.0,2175.0,2079.95,95.05,4.5698,55957.16,12029474.558
154,600519.SH,20210122,2069.0,2100.0,2060.1,2079.95,2070.0,9.95,0.4807,29247.61,6090260.364
155,600519.SH,20210121,2048.0,2090.02,2041.0,2070.0,2040.63,29.37,1.4393,38310.17,7953455.967
156,600519.SH,20210120,2008.0,2055.49,1982.5,2040.63,2009.41,31.22,1.5537,45082.42,9126453.277
157,600519.SH,20210119,2073.11,2096.3,2006.85,2009.41,2063.0,-53.59,-2.5977,46345.19,9479278.513
158,600519.SH,20210118,2061.06,2091.48,2040.27,2063.0,2082.0,-19.0,-0.9126,39144.04,8076715.79
159,600519.SH,20210115,2115.0,2134.35,2029.0,2082.0,2134.0,-52.0,-2.4367,59509.39,12372103.227
160,600519.SH,20210114,2156.0,2163.0,2116.11,2134.0,2164.0,-30.0,-1.3863,36152.2,7722089.684
161,600519.SH,20210113,2164.0,2173.33,2135.0,2164.0,2160.9,3.1,0.1435,34389.93,7418330.854
162,600519.SH,20210112,2088.0,2160.9,2085.0,2160.9,2099.73,61.17,2.9132,41058.59,8800558.288
163,600519.SH,20210111,2090.0,2150.5,2058.6,2099.73,2090.0,9.73,0.4656,51079.9,10768565.415
164,600519.SH,20210108,2142.0,2150.88,2063.02,2090.0,2140.0,-50.0,-2.3364,53861.64,11345202.869
165,600519.SH,20210107,2097.0,2140.0,2075.0,2140.0,2100.0,40.0,1.9048,37931.39,7991178.754
166,600519.SH,20210106,2064.8,2125.0,2036.03,2100.0,2059.45,40.55,1.969,47410.2,9882593.867
167,600519.SH,20210105,1990.0,2059.45,1982.46,2059.45,1997.0,62.45,3.1272,52116.05,10592557.37
168,600519.SH,20210104,1999.98,2004.99,1983.81,1997.0,1998.0,-1.0,-0.0501,43514.0,8686920.261
169,600519.SH,20201231,1941.0,1998.98,1939.0,1998.0,1933.0,65.0,3.3626,38860.07,7682300.728
170,600519.SH,20201230,1870.0,1933.0,1869.99,1933.0,1867.0,66.0,3.5351,34452.1,6604461.376
171,600519.SH,20201229,1873.0,1886.8,1855.0,1867.0,1873.0,-6.0,-0.3203,22867.59,4275994.834
172,600519.SH,20201228,1826.6,1888.8,1826.05,1873.0,1830.0,43.0,2.3497,30080.37,5616528.738
173,600519.SH,20201225,1802.99,1847.0,1800.0,1830.0,1830.34,-0.34,-0.0186,23088.05,4218997.634
174,600519.SH,20201224,1818.0,1858.88,1795.02,1830.34,1841.65,-11.31,-0.6141,37857.14,6921989.374
175,600519.SH,20201223,1897.99,1906.2,1821.02,1841.65,1881.0,-39.35,-2.092,47706.09,8901002.262
176,600519.SH,20201222,1849.97,1898.99,1842.51,1881.0,1842.5,38.5,2.0896,40650.6,7618583.444
177,600519.SH,20201221,1840.0,1851.23,1837.6,1842.5,1845.0,-2.5,-0.1355,30696.72,5663526.809
178,600519.SH,20201218,1851.81,1869.01,1841.08,1845.0,1865.51,-20.51,-1.0994,27076.98,5020968.993
179,600519.SH,20201217,1845.5,1868.0,1840.0,1865.51,1840.0,25.51,1.3864,36030.64,6683421.886
180,600519.SH,20201216,1830.5,1845.67,1820.21,1840.0,1816.01,23.99,1.321,32150.16,5901298.275
181,600519.SH,20201215,1833.5,1837.22,1805.0,1816.01,1829.0,-12.99,-0.7102,29604.97,5383582.284
182,600519.SH,20201214,1827.77,1829.98,1815.0,1829.0,1820.0,9.0,0.4945,33052.0,6026813.428
183,600519.SH,20201211,1834.78,1837.32,1804.81,1820.0,1832.9,-12.9,-0.7038,30775.79,5595359.665
184,600519.SH,20201210,1840.0,1849.77,1828.0,1832.9,1840.0,-7.1,-0.3859,32653.54,6009239.911
185,600519.SH,20201209,1865.95,1866.0,1839.0,1840.0,1850.0,-10.0,-0.5405,31152.12,5766037.609
186,600519.SH,20201208,1815.0,1875.0,1813.0,1850.0,1812.4,37.6,2.0746,61454.0,11333352.154
187,600519.SH,20201207,1802.7,1840.39,1800.55,1812.4,1793.11,19.29,1.0758,58331.33,10617305.104
188,600519.SH,20201204,1752.0,1800.1,1752.0,1793.11,1749.0,44.11,2.522,62491.19,11176048.847
189,600519.SH,20201203,1738.01,1755.66,1732.1,1749.0,1738.01,10.99,0.6323,29505.78,5147357.781
190,600519.SH,20201202,1746.0,1749.0,1731.0,1738.01,1737.0,1.01,0.0581,23571.69,4101369.306
191,600519.SH,20201201,1726.0,1738.99,1720.01,1737.0,1713.91,23.09,1.3472,28196.2,4891829.153
192,600519.SH,20201130,1735.0,1738.9,1713.91,1713.91,1737.9,-23.99,-1.3804,31940.07,5520322.173
193,600519.SH,20201127,1732.66,1740.03,1718.0,1737.9,1734.39,3.51,0.2024,21568.61,3737697.985
194,600519.SH,20201126,1726.0,1739.99,1725.18,1734.39,1726.88,7.51,0.4349,23228.3,4027749.313
195,600519.SH,20201125,1761.5,1768.88,1724.0,1726.88,1763.5,-36.62,-2.0766,28226.32,4910540.741
196,600519.SH,20201124,1769.99,1782.5,1751.47,1763.5,1790.21,-26.71,-1.492,32465.36,5736960.168
197,600519.SH,20201123,1771.01,1809.9,1771.01,1790.21,1719.96,70.25,4.0844,66637.24,11926870.595
198,600519.SH,20201120,1720.0,1736.0,1712.65,1719.96,1720.19,-0.23,-0.0134,21874.66,3771894.859
199,600519.SH,20201119,1684.5,1725.0,1680.6,1720.19,1693.65,26.54,1.567,27815.76,4767508.753
